month,max_temp,min_temp,mean_temp
1982-01,31.9,21.9,25.9
1982-02,34.3,22.6,27.1
1982-03,34.3,22.3,27.2
1982-04,33.2,22.2,27
1982-05,32.9,23.7,28
1982-06,33.3,23.1,28.4
1982-07,33,22.1,28.2
1982-08,33.2,21.9,27.7
1982-09,33.2,23.5,27.9
1982-10,33.8,22.6,27.4
1982-11,34.3,23.1,27.3
1982-12,33,22.8,26.2
1983-01,32.1,23,26.5
1983-02,34.6,23.1,28.1
1983-03,35.8,24.3,28.9
1983-04,35.8,23.5,29.4
1983-05,34,23.5,28.3
1983-06,33.6,21.3,28.3
1983-07,33,21.4,27.6
1983-08,32.7,22.1,28.1
1983-09,32.8,22.4,27.2
1983-10,33.7,22.4,27.6
1983-11,32.6,21.3,26.6
1983-12,31.3,21.9,25.4
1984-01,31.7,21.2,25.5
1984-02,31.5,21.1,25.8
1984-03,32.8,22.1,26.5
1984-04,32.7,22.7,27.3
1984-05,32.9,21.9,27.3
1984-06,32.7,21.4,27.5
1984-07,33,22.5,27.2
1984-08,32.8,22.4,27.4
1984-09,32.4,21,26.8
1984-10,33.4,21.2,27.4
1984-11,32.7,22.8,26.5
1984-12,32.2,22,26
1985-01,33,22.2,26.6
1985-02,33.7,22.2,27
1985-03,33.3,23.1,27.1
1985-04,34.2,22.4,27.5
1985-05,33.6,23.5,28
1985-06,35,23.4,28.2
1985-07,33.3,21,27
1985-08,33,21.3,27.7
1985-09,32.5,22.1,26.9
1985-10,33.4,21.7,26.7
1985-11,33,22.5,26.6
1985-12,32.4,22.9,26.1
1986-01,31.4,21.5,25.7
1986-02,33.2,22.5,26.9
1986-03,32.7,22.6,26.4
1986-04,32.8,22.4,27.4
1986-05,33.4,22,28.2
1986-06,33.2,22.2,27.9
1986-07,33.2,21.9,27.9
1986-08,34.2,21.9,28.3
1986-09,32.4,21.2,26.7
1986-10,32.6,22.5,26.9
1986-11,32.8,22.8,26.6
1986-12,32,22.5,26.3
1987-01,31.4,22.1,25.5
1987-02,33,22.8,26.6
1987-03,33.3,23,27.5
1987-04,34.6,22.5,27.9
1987-05,33.2,22.4,27.6
1987-06,33.5,22,28.7
1987-07,33.7,22.5,28.1
1987-08,33.8,22.5,27.4
1987-09,33.6,21.2,27.6
1987-10,33.7,23.5,27.9
1987-11,33.3,22.9,27.3
1987-12,32.8,22.7,26.4
1988-01,33.1,23.2,26.8
1988-02,33.8,23.6,27.1
1988-03,34.7,22.5,27.3
1988-04,33.7,24.2,27.8
1988-05,34.2,23.3,28.4
1988-06,33.6,22.2,28
1988-07,33.8,21,27.3
1988-08,32.7,22.6,27
1988-09,33.3,21.7,27.1
1988-10,34.5,22.4,27.5
1988-11,32.8,22.1,26.3
1988-12,31.6,23,26.2
1989-01,32.8,22.6,26.5
1989-02,33.3,22.3,26.6
1989-03,32.5,22.6,26.3
1989-04,34.5,21.9,27
1989-05,33.3,21.2,27.3
1989-06,33.2,22.3,27.5
1989-07,32.7,22.2,27.7
1989-08,33.3,21.5,27.1
1989-09,32.7,21.3,26.9
1989-10,32.9,21.1,27.1
1989-11,32.8,22.6,26.7
1989-12,32,22.5,26.3
1990-01,32.1,22.4,26.2
1990-02,34,24,27.6
1990-03,34.7,21.4,28.2
1990-04,35,23.1,28.5
1990-05,34.6,23,28.6
1990-06,33.8,21.9,28.3
1990-07,33.5,22.6,27.5
1990-08,33.9,21.1,28
1990-09,33.3,21.2,27.2
1990-10,33.3,23.7,27.5
1990-11,34,22.4,27.2
1990-12,31.8,22.9,26.3
1991-01,33.1,22.7,26.7
1991-02,33.5,22.7,27.1
1991-03,34,22.5,27.8
1991-04,34.1,22.8,27.7
1991-05,33.2,22.6,27.7
1991-06,33.6,23.5,28.6
1991-07,34,23.1,28.5
1991-08,33.6,22.4,28.2
1991-09,32.5,23,27.5
1991-10,33.4,22.9,27.5
1991-11,32.6,22,26.3
1991-12,31.5,22.2,25.6
1992-01,31.8,22.1,26.6
1992-02,33.1,22.3,27.5
1992-03,34.7,22.9,28.2
1992-04,34.6,22.5,28.4
1992-05,34.1,23.5,28.1
1992-06,33.6,21.1,28
1992-07,33.5,22.1,27.3
1992-08,33.6,21.7,27.8
1992-09,34,22.9,27.3
1992-10,32.9,22.9,27.4
1992-11,32,22.5,26.1
1992-12,31.4,22.2,25.5
1993-01,31.6,21.9,26.2
1993-02,32.7,22.7,26.7
1993-03,32.2,22.3,26.7
1993-04,33.5,21.7,27.6
1993-05,34.2,22.5,28.2
1993-06,33.3,22.7,28.5
1993-07,32.8,22.5,27.9
1993-08,33.9,22,28.6
1993-09,33.2,22.7,27.9
1993-10,33.2,22.5,27.5
1993-11,32.5,22.7,26.9
1993-12,32.9,22.4,26.5
1994-01,32.4,23.1,26.9
1994-02,32.5,22.6,27
1994-03,32.2,22.9,26.8
1994-04,33.6,23.2,27.9
1994-05,32.6,22.6,28.1
1994-06,33.1,22.2,28.1
1994-07,32.7,20.5,28.4
1994-08,32.9,22.5,28.1
1994-09,34.1,22,28.3
1994-10,34.2,22.7,27.9
1994-11,32.5,22.4,26.7
1994-12,32.6,22,26.9
1995-01,32.8,21.8,26.8
1995-02,32.4,22.6,26.5
1995-03,33.2,23.1,27.6
1995-04,33.5,23.5,27.9
1995-05,34,23.2,28.5
1995-06,34,24.3,28.9
1995-07,33,22.8,28
1995-08,32.4,22.8,27.4
1995-09,33,22.6,28.3
1995-10,34.1,22.9,27.8
1995-11,33.3,22.5,27
1995-12,32.5,22.5,26.3
1996-01,32.5,22.1,26.2
1996-02,32,22.3,26.5
1996-03,34.4,22.2,27.8
1996-04,33.6,23.2,27.8
1996-05,33.3,22.9,28.5
1996-06,33.9,22.1,28.3
1996-07,33.3,22.1,28.3
1996-08,33.1,22.3,27.4
1996-09,33.2,22.3,27.7
1996-10,33.1,22.9,27.5
1996-11,33.6,22.4,27.3
1996-12,33,22.6,26.6
1997-01,33.3,23.1,27.1
1997-02,33.7,22.3,27.4
1997-03,34.2,23.7,28.1
1997-04,34.4,22.3,28.1
1997-05,35.1,24.7,29.3
1997-06,34.7,23.6,29.3
1997-07,34,23.6,28.8
1997-08,34,22,28.8
1997-09,33.8,24.1,28.8
1997-10,34.5,22.8,28.2
1997-11,33.7,23.5,27.8
1997-12,32.9,23,27.3
1998-01,33.6,23.5,28
1998-02,34.6,24.3,28.9
1998-03,36,24.4,29.5
1998-04,34.8,24.2,29.2
1998-05,34.8,24.5,29.4
1998-06,34.7,22.9,28.6
1998-07,33.6,22.7,28.1
1998-08,32.8,23.2,27.5
1998-09,33.1,22.7,27.9
1998-10,34.5,22.5,28
1998-11,34.1,23.4,27.9
1998-12,32.6,22.8,26.6
1999-01,32.8,22.6,26.6
1999-02,33,22,27.2
1999-03,33,22,27.1
1999-04,34.4,23,28.3
1999-05,34.2,23.7,28
1999-06,33.7,21.8,28.2
1999-07,32.9,21.6,27.8
1999-08,32.9,21.9,27.5
1999-09,33.9,22.1,27.9
1999-10,32.5,22.4,27.2
1999-11,33.4,22.9,27.3
1999-12,33,22.4,26.8
2000-01,31.8,22.8,26.3
2000-02,32.4,21.7,26.6
2000-03,34,20.2,27.2
2000-04,33.4,22.6,27.5
2000-05,34.2,22.6,28.6
2000-06,33.3,22.5,27.6
2000-07,33.1,22.1,28.1
2000-08,33.3,22.2,27.5
2000-09,34.3,23.5,28
2000-10,34.1,22.9,27.8
2000-11,34.2,22.9,27.3
2000-12,32.6,23,27
2001-01,32.8,22.7,26.5
2001-02,32.4,23,27
2001-03,33.7,22.7,27.5
2001-04,33.5,23.2,27.7
2001-05,33.5,22.4,28.5
2001-06,33.6,21.5,28.2
2001-07,33.7,23,28.4
2001-08,33.7,22.8,28
2001-09,33.1,22.8,28
2001-10,34,22.6,27.6
2001-11,33.2,23.2,27.2
2001-12,33.2,22.2,26.7
2002-01,33.5,23.4,27
2002-02,32.5,22.1,27.3
2002-03,34.8,23.5,28.2
2002-04,34.3,23,28.6
2002-05,34.1,23.2,28.9
2002-06,33.3,23.7,28.7
2002-07,33,22.9,28.4
2002-08,33.6,22.4,28.5
2002-09,33.2,22,28.1
2002-10,34.6,24.1,28.7
2002-11,34,23.1,27.4
2002-12,33,23,27.2
2003-01,32.4,23.2,26.7
2003-02,32.6,22.8,27.1
2003-03,33.5,22.8,28.1
2003-04,33.7,23.4,27.9
2003-05,34.3,23.4,29.2
2003-06,34.3,22.4,28.9
2003-07,32.8,22,28.1
2003-08,33.1,23,28.2
2003-09,32.9,22.4,27.6
2003-10,33,22.6,27.6
2003-11,33,23,27.1
2003-12,32.2,22.3,26.5
2004-01,32,22,26.9
2004-02,34,22.6,27.6
2004-03,33.7,22.2,27.7
2004-04,35.1,24.4,28.9
2004-05,34.3,23.6,28.9
2004-06,33.7,22.5,29
2004-07,32.9,21.1,27.3
2004-08,33.5,22.1,28.3
2004-09,33.1,23.4,27.8
2004-10,34.2,23.2,27.8
2004-11,32.5,22.8,27.3
2004-12,32.7,23,26.8
2005-01,32.4,22.5,26.6
2005-02,34.7,23.5,28.5
2005-03,35,23,28.5
2005-04,35.1,23,28.7
2005-05,35.4,22.6,28.5
2005-06,33.9,23.6,28.8
2005-07,33.9,21.3,28
2005-08,33.6,22.5,28.2
2005-09,33.1,21.8,28.2
2005-10,33,23,27.6
2005-11,33.6,22.6,27.3
2005-12,33.5,22,27.3
2006-01,32,22.1,26.5
2006-02,33.3,23.3,27.5
2006-03,34.6,23.6,28.3
2006-04,34.1,23.4,27.6
2006-05,33.8,23.6,28.1
2006-06,32.7,23,27.8
2006-07,33.1,22.6,28.4
2006-08,33.1,22.1,28.3
2006-09,32.8,22.7,28
2006-10,33.6,23.5,28.3
2006-11,33.2,23.5,27.3
2006-12,32.7,22.4,26.6
2007-01,32.7,23.1,26.5
2007-02,33.3,23.3,27.3
2007-03,33.5,22.5,27.5
2007-04,33.7,22.2,28.1
2007-05,33.4,22.7,28.3
2007-06,34,21.8,28.4
2007-07,33,22.6,27.7
2007-08,32.5,22.9,27.7
2007-09,32.6,23,27.8
2007-10,33.7,22.6,27.8
2007-11,33.5,22.1,26.9
2007-12,31.8,22.1,26.4
2008-01,33.5,22.9,26.8
2008-02,33.4,22.4,26.7
2008-03,32.7,21.8,26.5
2008-04,33.3,23.4,28.1
2008-05,34.1,22.1,28.8
2008-06,32.9,22,28.2
2008-07,32.7,22.7,27.8
2008-08,32.7,22.6,27.4
2008-09,32.9,22.1,27.7
2008-10,33.3,23.1,27.6
2008-11,33,22.5,27.3
2008-12,32.6,22.1,26.9
2009-01,32.6,23.2,26.8
2009-02,35,23.1,27.3
2009-03,33.2,22.3,27.2
2009-04,34.7,22.9,28.5
2009-05,33.6,21.8,28.7
2009-06,33.7,24,29.1
2009-07,33.1,22.1,28.3
2009-08,33.5,22.6,28.3
2009-09,33,23.1,28.3
2009-10,33.9,23.4,28.2
2009-11,34.1,23.5,27.2
2009-12,32.6,23.2,27.1
2010-01,32.3,21.8,27.5
2010-02,35.2,23.8,28.9
2010-03,35.5,22.8,28.6
2010-04,34.5,22.5,28.6
2010-05,35.2,22.9,29.2
2010-06,33.5,23,28.3
2010-07,33.4,22.4,27.7
2010-08,33.1,22,27.9
2010-09,33.2,22.6,28
2010-10,34.1,22.6,28.3
2010-11,33.1,21.7,27.4
2010-12,33.6,22.3,26.8
2011-01,32.4,21.6,26.3
2011-02,33.5,23.2,27.3
2011-03,33.5,21.9,27.1
2011-04,33.1,21.4,27.9
2011-05,35.3,23.4,28.5
2011-06,33.1,22.2,28.4
2011-07,32.9,22.2,28.7
2011-08,32.5,23.3,27.9
2011-09,32.4,21.5,27.8
2011-10,32.5,22.5,27.3
2011-11,32.5,22.8,27.1
2011-12,32.3,22.8,26.6
2012-01,32.5,21.5,26.7
2012-02,32.9,22.7,27.2
2012-03,33.2,21.1,27
2012-04,32.9,21.9,27.6
2012-05,33.7,22,28.2
2012-06,32.7,22.8,28.7
2012-07,32.1,22.9,27.7
2012-08,32.7,23.1,27.9
2012-09,32.7,22.5,27.9
2012-10,33.1,23.5,27.7
2012-11,32.8,23.4,27.1
2012-12,32.2,22.2,26.7
2013-01,35.2,21.6,27.1
2013-02,32.5,21.5,26.5
2013-03,33.8,23.9,28.3
2013-04,34.9,22.1,28.2
2013-05,33.9,22.9,28.2
2013-06,34.5,22.6,29
2013-07,33.5,22.9,27.8
2013-08,32.8,21.6,27.9
2013-09,32.9,21.9,27.5
2013-10,33.2,20.9,27.7
2013-11,32.9,22.9,27.1
2013-12,33.7,21.2,26.5
2014-01,31.8,22.4,26.2
2014-02,33.8,22.4,27.2
2014-03,34.4,23.6,27.9
2014-04,34.5,22.8,28.2
2014-05,33.8,23,28.6
2014-06,33.6,23,29
2014-07,33.2,21.1,28.7
2014-08,31.9,22,27.7
2014-09,33.2,22.4,28.5
2014-10,34.1,24,28.4
2014-11,33.4,22.2,27.5
2014-12,33.6,22.4,27
2015-01,32.4,23.3,26.9
2015-02,33.6,23.1,27
2015-03,34.4,23.4,28.2
2015-04,34.4,24,28.6
2015-05,34.2,24,28.7
2015-06,34.3,24.2,29
2015-07,32.7,22.1,29.1
2015-08,33.1,22.6,28.4
2015-09,33.2,23.1,28.7
2015-10,33.6,21.9,28.7
2015-11,33.6,23.7,28
2015-12,33.1,22.5,27.7
2016-01,32.8,22.9,28.3
2016-02,32.7,23.3,27.8
2016-03,34.1,25.4,29
2016-04,35,25.3,29.4
2016-05,34.6,23.9,29.3
2016-06,33.4,22.5,28.5
2016-07,33.4,22.5,28.4
2016-08,33.8,22.1,28.9
2016-09,34.4,22.6,28.3
2016-10,34.6,21.6,28.3
2016-11,32.6,22.7,27.4
2016-12,33.6,23,27.4
2017-01,33.7,21.8,26.9
2017-02,32.4,22.6,26.9
2017-03,33.3,22.9,27.4
2017-04,34.4,22.8,27.8
2017-05,32.8,23.6,28.5
2017-06,33,22.2,28.5
2017-07,32.4,23.5,28.3
2017-08,33,23.7,28.1
2017-09,32.4,22.3,28
2017-10,34.6,23.5,27.9
2017-11,32.5,23.1,27.1
2017-12,33.5,23.2,27
2018-01,33.2,21.3,26.1
2018-02,33.5,23.5,27.2
